Latin America,North America,Europe,ST attacked in routine environment (predictable events),ST threatened,open critic against attackers ,attack during working hours ,attack during day,unknown wherabouts of victim,attackers sighted during attack,responsibility claimed of attack by a group,how was victim attacked,was detailed intelligence required,killed in transit,did assassin break in,did victim have bodyguards,previous attempts on ST life,were there collateral casualties,fixated individual,lone actor,public attributes it to specific org,public attributes it to gov,year
0,0,1,1,0,0,0,0,0,0,1,shot,0,0,0,0,0,0,0,0,1,0,2002
0,0,1,1,0,0,1,1,0,1,,shot,0,0,0,0,0,0,0,0,1,0,2018
0,0,1,1,1,1,0,0,0,0,0,shot,0,0,1,0,0,0,0,1,1,0,2019
0,1,0,1,0,0,1,0,0,1,0,shot,0,0,0,0,0,1,1,1,0,0,2008
0,1,0,1,0,1,1,0,0,1,0,shot,0,0,0,0,0,0,0,1,0,0,1990
0,1,0,1,0,0,0,0,0,0,0,shot,1,0,0,0,0,0,0,1,1,1,1989
0,0,0,1,0,0,1,1,1,1,1,beaten,0,0,0,0,0,1,0,0,1,0,2016
1,0,0,1,0,1,0,1,0,1,1,shot,1,0,0,0,0,0,0,0,1,0,2000
1,0,0,1,0,0,1,1,0,1,0,shot,0,0,0,1,0,0,0,0,1,1,1994
1,0,0,1,0,1,0,0,0,1,1,shot,1,1,0,1,1,1,0,0,1,0,1961
1,0,0,1,1,1,1,1,0,1,1,shot,1,0,0,1,1,1,0,0,1,0,1988
1,0,0,0,1,1,1,1,0,1,1,shot,0,0,0,1,1,1,0,0,1,0,1989
1,0,0,1,1,1,1,1,0,1,1,shot,0,1,0,0,0,1,0,0,1,0,1989
1,0,0,1,1,1,1,1,0,1,0,shot,0,0,0,0,0,0,0,0,1,0,1991
1,0,0,0,0,1,0,1,0,1,0,shot,0,1,0,0,0,1,0,0,1,1,2018
1,0,0,1,1,1,0,0,0,0,0,shot,0,0,1,0,0,0,0,0,1,1,2015
1,0,0,0,0,0,0,1,1,1,0,shot,0,0,1,0,0,0,0,1,1,1,1976
1,0,1,0,0,1,0,0,0,1,0,shot,0,0,0,0,0,1,0,0,1,1,1992
0,0,1,1,0,0,1,1,0,1,1,stabbed,0,0,0,0,0,1,1,1,1,0,2016
0,0,1,1,0,0,1,1,0,0,0,shot,0,0,0,0,1,0,0,0,1,0,2006
0,0,1,0,0,0,1,1,0,1,0,shot,0,1,0,0,0,0,0,0,1,0,2005
